classificacao,comentario,justificativa
Positive,Artemas's songs are always such a vibe. 10/10 again!!,Expresses strong enthusiasm and approval.
Positive,'' The perfect girl '' vibes. I love it.,Expresses enthusiastic enjoyment of the song's aesthetic.
Positive,Proof this genre of music and melody just can't die.,Expresses admiration and a belief in the enduring quality of the music.
Positive,This song gives  80s vibe and I love it,Expresses enjoyment of the song's 80s-inspired sound.
Positive,"This is too good! It gives me that ""riding a bike at midnight"" melancholic vibe","Expresses strong positive feelings and a specific, evocative mood."
Positive,"For those who have been in relationships like the one described in the lyrics, they know the range of feelings it evokes, whether it's euphoria, anguish, melancholy, regret, and a series of others. Listening to this song from that perspective adds tremendous depth. It is quite heartless to listen from a first-person point of view, but the one who is in love, even if deluded, leaves a small door of hope for humanity.",Acknowledges emotional depth and expresses cautious optimism.
Positive,"One year already, which makes this sound 10x more nostalgic.",Expresses fondness and a sense of nostalgia associated with the song's release.
Positive,We want more songs with this rhythm now!!,Expresses a desire for more music with the same appealing rhythm.
Positive,this song nails a vibe so precisely i was convinced it was a cover of a song i already loved,Expresses a strong feeling of connection and enjoyment.
Positive,Felt the Bloc Party vibes all the way through. What a tune! Soundtrack material right here. Ciao!,Expresses enjoyment and identifies a positive comparison.
Positive,Holy heck - I haven’t heart this kind of Dark/Upbeat EDM get big in a while.,Expresses enthusiasm for the style of music.
Positive,I love this song. Gives me a dark wave synthesizer 80's beat. Your hair looks so healthy 🍀,Expresses strong enjoyment and appreciation for the song and its aesthetic.
Positive,It gives an impeccable retro vibe.,"Describes the music video as having a desirable, classic feel."
Positive,"it hits, hits, hits part of the song is the vibe!",Expresses strong positive feelings about a specific part of the song.
Positive,"Lately i sleep with my tv on, on mtv and last night i saw this the first time, as a 80s kid i instantly loved it what a vibe.",Expresses immediate and strong nostalgic enjoyment of the song.
Positive,"I broke down and made a video of the song, but with vibes 80’s","Expresses enthusiastic creation of a video, indicating enjoyment."
Positive,This beat got me. Fantastic. Cant stop hearing it.,Expresses strong enjoyment and repeated listening.
